CODIGO;LOJA;Mix de Produtos quantidade;LATITUDE;LONGITUDE
224;CENTERBOX - SANTOS DUMONT;34;-3.7440842;-38.4749343
3533;PAO DE ACUCAR - IGUATEMI (1339);12;-3.75451369;-38.48921518
233;SUPER LAGOA - LUCIANO CAVALCANTE;7;-3.768427;-38.4936217
4284;PAO DE ACUCAR - LUCIANO CAVALCANTE (2374);11;-3.772043;-38.4828363
4522;COMETA (ENGENHEIRO SANTANA JR);34;-3.7354447;-38.4816158
8900007;FRANGOLANDIA - SANTOS DUMONT;38;-3.7429041;-38.4794315
8900019;FRANGOLANDIA - MOLINA CENTER;34;-3.7929617;-38.4806392
838;COMETA (ANTONIO SALES);23;-3.7440036;-38.5080673
3784;EXTRA - RODOVIARIA (1404);6;-3.7555418;-38.5303956
9341;COMETA (FATIMA);32;-3.7532492;-38.5276962
4111;PAO DE ACUCAR - FATIMA (0255);9;-3.746476;-38.5313805
3508;PAO DE ACUCAR - AGUANAMBI (1398);9;-3.748629;-38.5229264
2309;COMETA (TREZE DE MAIO);35;-3.7495749;-38.5285489
8900009;FRANGOLANDIA - RUI BARBOSA;38;-3.746295;-38.5125923
942;COMETA (ILDEFONSO ALBANO);36;-3.7407932;-38.516113
11775;COMETA (BARAO DO RIO BRANCO);37;-3.73996838;-38.53237147
196;CENTERBOX - PANAMERICANO;34;-3.7548351;-38.5561623
197;PINHEIRO - PANAMERICANO;7;-3.7550758;-38.5691635
8900004;FRANGOLANDIA - MONTE CASTELO;38;-3.725058699999991;-38.55094759999997
8900016;FRANGOLANDIA - PARQUE ARAXA;38;-3.737422;-38.5517313
4803;COMETA (JOVITA FEITOSA);36;-3.7403104;-38.5603054
182;CENTERBOX - PARQUELANDIA;34;-3.7429477;-38.5599157
902;SUPER LAGOA - RODOLFO TEOFILO;7;-3.7468473;-38.5559982
203;SUPER LAGOA - NORTH SHOPPING;7;-3.7352505;-38.5662836
4221;PAO DE ACUCAR - BEZERRA DE MENEZES (2375);11;-3.7335995;-38.5586262
9631;COMETA (PRESIDENTE KENNEDY);30;-3.7302312;-38.568373
8900015;FRANGOLANDIA - MESSEJANA;38;-3.8322624;-38.4923427
1006;COMETA (FREI CIRILO);36;-3.8194034;-38.4963739
268;PINHEIRO - WASHINGTON SOARES;7;-3.8370287;-38.4822819
276;PINHEIRO - MESSEJANA;7;-3.821324;-38.4962057
218;LAG - MESSEJANA;7;-3.832713;-38.4916446
954;COMETA (JOAQUIM FELICIO);36;-3.8301305;-38.4875383
212;CENTERBOX - MESSEJANA - LJ 01;34;-3.8185168;-38.4971878
11899;CENTERBOX - LAGOA REDONDA;34;-3.82635425;-38.47426069
11851;CENTERBOX - CURIO;34;-3.82637289;-38.47433135
10947;COMETA (MESSEJANA);26;-3.8194224;-38.4817816
